"Fornecedor";"Contratante";"Número do Contrato";"Objeto do Contrato";"Início da Vigência";"Fim da Vigência";"Data da Assinatura";"Valor do Contrato";"Valor é porcentagem?";
"Alianca Dis. De Mat. em Geral Ltda.";"Secretaria Municipal de Saude";"106822019";"Aquisicao de descartaveis";"2019-03-16";"2019-12-31";"2019-03-15";"53598.0";"0";
"JSB Distribuidora Ltda.-ME";"Secretaria Municipal de Saude";"106842019";"Aquisicao de descartaveis";"2019-03-16";"2019-12-31";"2019-03-15";"9036.0";"0";
"HC COMERCIO DE PAPELARIA E SERVICOS EIRELI-EPP";"Secretaria Municipal de Saude";"106832019";"Aquisicao de descartaveis";"2019-03-22";"2019-12-31";"2019-03-21";"23880.0";"0";
"NORLUX LTDA ME";"Secretaria Municipal de Saude";"106942019";"Aquisicao de descartaveis";"2019-03-27";"2019-12-31";"2019-03-25";"18960.0";"0";
"PROLIMP PRODUTOS E SERVICOS EIRELI - EPP";"Secretaria Municipal de Saude";"106812019";"Aquisicao de descartaveis";"2019-04-10";"2019-12-31";"2019-04-01";"71975.2";"0";
"TUTTO LIMP DISTRIBUIDORA LTDA";"Secretaria Municipal de Saude";"106952019";"Aquisicao de descartaveis";"2019-04-10";"2019-12-31";"2019-03-22";"207954.0";"0";
"REND BRASIL LTDA EPP";"Secretaria Municipal de Saude";"108742018";"Aquisicao de racao de caes e gatos  para atender ao Zoonoses do Municipio de Joao Pessoa";"2018-09-28";"2018-12-31";"2018-08-31";"14373.1";"0";
"REND BRASIL LTDA EPP";"Secretaria Municipal de Saude";"105362019";"Aquisicao de racao de caes e gatos  para atender ao Zoonoses do Municipio de Joao Pessoa";"2019-05-01";"2019-12-31";"2019-02-06";"14373.1";"0";
"ARTSOM - PROMOCOES ARTISTICAS E EVENTOS LTDA - ME";"Fundacao Cultural de Joao Pessoa";"1422019";"Contratacao da Artista DIANA MIRANDA";"2019-03-16";"2019-02-25";"2019-02-22";"12000.0";"0";
"SILSUL COMERCIO LTDA - EPP.";"Secretaria Municipal de Saude";"107162019";"Aquisicao de insumos e reagentes para realizacao de exames laboratoriais";"2019-03-22";"2019-12-31";"2019-03-21";"121260.0";"0";
"GREINER BIO-ONE BRASIL PRODUTOS MEDICOS HOSPITALAR";"Secretaria Municipal de Saude";"107172019";"Aquisicao de insumos e reagentes para realizacao de exames laboratoriais";"2019-04-25";"2019-12-31";"2019-04-25";"883800.0";"0";
"D-OXXI NORDESTE LTDA - ME";"Secretaria Municipal de Saude";"108042019";"Aquisicao de insumos e reagentes para realizacao de exames laboratoriais";"2019-04-30";"2019-12-31";"2019-04-23";"571919.05";"0";
"F WILTON CAVALCANTE MONTEIRO EIRELI";"Secretaria Municipal de Saude";"108302019";"AQUISICAO DE MATERIAL MEDICO PADRAO.
";"2019-05-31";"2019-12-31";"2019-05-31";"73120.0";"0";
"VALDEMIR DOS PASSOS LIMA PRODUTOS INDUSTRIAIS BRASIND";"Secretaria Municipal de Saude";"106672019";"Aquisicao de protetor solar";"2019-03-16";"2019-12-31";"2019-03-15";"12492.48";"0";
"1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"108312019";"AQUISICAO DE MATERIAL MEDICO PADRAO.
";"2019-06-04";"2019-12-31";"2019-06-04";"33060.0";"0";
"F WILTON CAVALCANTE MONTEIRO EIRELI";"Secretaria Municipal de Saude";"108282019";"AQUISICAO DE MEDICAMENTOS DE USO GERAL";"2019-05-31";"2019-12-31";"2019-05-31";"6640.0";"0";
"RAYAN LINS CORDEIRO - ME ";"Fundacao Cultural de Joao Pessoa";"0132019";"Contratacao do Grupo SEU PEREIRA";"2019-01-19";"2019-01-27";"2019-01-09";"3000.0";"0";
"REGIS UNIFORMES E COMERCIO EIRELI";"Secretaria Municipal de Saude";"108382018";"Aquisicao de uniformes e calcados para os profissionais do SAMU";"2018-08-25";"2018-12-31";"2018-08-15";"13503.64";"0";
"REGIS UNIFORMES E COMERCIO EIRELI";"Secretaria Municipal de Saude";"107302019";"Aquisicao de uniformes e calcados para os profissionais do SAMU";"2019-04-11";"2019-12-31";"2019-04-08";"13503.64";"0";
"F.C.F Componentes e Artefatos de EPI EIRELI ME";"Secretaria Municipal de Saude";"107362019";"Aquisicao de uniformes e calcados para os profissionais do SAMU";"2019-05-11";"2019-12-31";"2019-04-16";"2670.0";"0";
"COMPANHIA DE TEATRO ARGONAUTAS";"Fundacao Cultural de Joao Pessoa";"0162019";"Contratacao da COMPANHIA DE TEATRO ARGONAUTAS";"2019-01-19";"2019-01-20";"2019-01-09";"3000.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"106052018";"Aquisicao de medicamento tofacitinibe (xeljanz)";"2018-04-12";"2018-12-31";"2018-04-12";"76291.2";"0";
"TEATRAL ARRETADO PRODUCOES ARTISTICAS ";"Fundacao Cultural de Joao Pessoa";"0182019";"Contratacao do GRUPO TEATRAL ARRETADO PRODUCOES ARTISTICAS";"2019-01-19";"2019-01-20";"2019-01-09";"3000.0";"0";
"SANDRA KALYNE DE BARROS";"Fundacao Cultural de Joao Pessoa";"0192019";"Contratacao do Artista LEO THOMAS";"2019-01-19";"2019-01-20";"2019-01-09";"3000.0";"0";
"PRETO NETTO";"Fundacao Cultural de Joao Pessoa";"0212019";"Contratacao do Artista AUGUSTO RODRIGUES CAVALCANTE NETO";"2019-01-19";"2019-01-26";"2019-01-09";"3000.0";"0";
"GRADUAL COMERCIO SERVICOS EIRELLI";"Secretaria Municipal de Saude";"107542018";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2018-06-28";"2018-12-31";"2018-06-19";"18855.0";"0";
"TETHI COMERCIO DE ARTIGOS MEDICOS E ORTOPEDICOS EIRELI ";"Secretaria Municipal de Saude";"107522018";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2018-07-07";"2018-12-31";"2018-06-19";"500.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107532018";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2018-07-07";"2018-12-31";"2018-06-19";"221805.0";"0";
"GRADUAL COMERCIO SERVICOS EIRELLI";"Secretaria Municipal de Saude";"107332019";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2019-03-20";"2019-12-31";"2019-03-18";"18855.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107402019";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2019-03-23";"2019-12-31";"2019-03-19";"221805.0";"0";
"TETHI COMERCIO DE ARTIGOS MEDICOS E ORTOPEDICOS EIRELI ";"Secretaria Municipal de Saude";"107492019";"Aquisicao de medicamentos de insulinas analogas e insumos insulinos";"2019-04-10";"2019-12-31";"2019-04-04";"500.0";"0";
"ENGENHO IMAGINARIO PRODUCOES ARTISTICAS";"Fundacao Cultural de Joao Pessoa";"0222019";"Contratacao do COLETIVO SOM E OSSO";"2019-01-10";"2019-06-18";"2019-01-10";"3000.0";"0";
"JOSE BARBOSA NETO";"Fundacao Cultural de Joao Pessoa";"0232019";"Contratacao do S.E.M. CIA DE TEATRO";"2019-01-10";"2019-01-18";"2019-01-10";"3000.0";"0";
"ROSANNA CHAVES DE CARVALHO GOMES";"Fundacao Cultural de Joao Pessoa";"0252019";"Contratacao do Artista ADILSON MEDEIROS";"2019-01-19";"2019-01-19";"2019-01-10";"3000.0";"0";
"ROSANNA CHAVES DE CARVALHO GOMES";"Fundacao Cultural de Joao Pessoa";"0262019";"Contratacao do Grupo PEROLAS DO NORDESTE";"2019-01-19";"2019-01-26";"2019-01-11";"3000.0";"0";
"ENGENHO IMAGINARIO PRODUCOES ARTISTICAS";"Fundacao Cultural de Joao Pessoa";"0292019";"Contratacao da CIA ENGENHO IMAGINARIO PRODUCOES ARTISTICAS";"2019-01-19";"2019-01-27";"2019-01-14";"3000.0";"0";
"Construdantas Const. E Incorp. Ltda.";"Secretaria de Planejamento";"330102018";"REQUALIFICACAO DAS VIAS DE ACESSO AO PORTO DO CAPIM NA CIDADE DE JOAO PESSOA/PB.";"2019-05-21";"2020-05-15";"2019-05-21";"5059053.8";"0";
"TEATRAL ARRETADO PRODUCOES ARTISTICAS ";"Fundacao Cultural de Joao Pessoa";"0312019";"Contratacao do Grupo PLANETA MAGICO";"2019-01-19";"2019-01-27";"2019-01-14";"3000.0";"0";
"DEGNER RODRIGUES DE ALMEIDA QUEIROZ";"Fundacao Cultural de Joao Pessoa";"1662018";"Contratacao do grupo Flavio para apresentacao no evento Polvora Cultural";"2018-04-19";"2018-05-27";"2018-04-19";"3000.0";"0";
"WAGNER MESQUITA ANTUNES";"Fundacao Cultural de Joao Pessoa";"0442019";"Contratacao do Grupo CLUBE DO SAMBA DE MESA";"2019-01-19";"2019-01-19";"2019-01-17";"3000.0";"0";
"WELLINGTON INACIO DA SILVA";"Fundacao Cultural de Joao Pessoa";"1582018";"Contratacao do grupo Chameguinho do Forro para apresentacao no evento Forro na Feira - Mercado do Bairro dos Estados";"2018-04-19";"2018-05-19";"2018-04-16";"1500.0";"0";
"CRISTIAN DE LIMA MACHADO ";"Fundacao Cultural de Joao Pessoa";"0462019";"Contratacao do Artista CRISTIAN DE LIMA MACHADO(DJ CRIS L)";"2019-01-22";"2019-01-26";"2019-01-22";"3000.0";"0";
"COMPANHIA DE TEATRO ARGONAUTAS";"Fundacao Cultural de Joao Pessoa";"1632018";"Contratacao da CIA. de Teatro Argonautas para apresentacao no evento Anima Centro com o espetaculo infantil Experimento Riso";"2018-04-19";"2018-05-20";"2018-04-16";"3000.0";"0";
"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"Secretaria Municipal de Saude";"107182018";"Aquisicao de medicamentos CBAF geral";"2018-06-13";"2018-12-31";"2018-06-05";"7722.0";"0";
"NDS DISTRIBUIDORA DE MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107292018";"Aquisicao de medicamentos CBAF geral";"2018-06-13";"2018-12-31";"2018-06-05";"133916.8";"0";
"PROHOSPITAL COMERCIO HOLANDA LTDA";"Secretaria Municipal de Saude";"107202018";"Aquisicao de medicamentos CBAF geral";"2018-06-14";"2018-12-31";"2018-06-05";"76703.0";"0";
"INOVAMED COMERCIO DE MEDICAMENTOS LTDA - ME";"Secretaria Municipal de Saude";"107252018";"Aquisicao de medicamentos CBAF geral";"2018-06-14";"2018-12-31";"2018-06-05";"213384.8";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"107262018";"Aquisicao de medicamentos CBAF geral";"2018-06-14";"2018-12-31";"2018-06-05";"25205.4";"0";
"ACACIA COMERCIO DE MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107272018";"Aquisicao de medicamentos CBAF geral";"2018-06-16";"2018-12-31";"2018-06-05";"91722.0";"0";
"F WILTON CAVALCANTE MONTEIRO EIRELI";"Secretaria Municipal de Saude";"107282018";"Aquisicao de medicamentos CBAF geral";"2018-06-16";"2018-12-31";"2018-06-05";"186549.0";"0";
"PROMEFARMA REPRESENTACOES COMERCIAIS LTDA";"Secretaria Municipal de Saude";"107242018";"Aquisicao de medicamentos CBAF geral";"2018-06-19";"2018-12-31";"2018-06-05";"39688.0";"0";
"CONQUISTA DIST DE MEDICAMENTOS E PRODUTOS HOSPITAL";"Secretaria Municipal de Saude";"107192018";"Aquisicao de medicamentos CBAF geral";"2018-06-20";"2018-12-31";"2018-06-05";"16236.0";"0";
"PROHOSPITAL COMERCIO HOLANDA LTDA";"Secretaria Municipal de Saude";"106052019";"Aquisicao de medicamentos CBAF geral";"2019-02-16";"2019-12-31";"2019-02-13";"28600.0";"0";
"F WILTON CAVALCANTE MONTEIRO EIRELI";"Secretaria Municipal de Saude";"106042019";"Aquisicao de medicamentos CBAF geral";"2019-02-19";"2019-12-31";"2019-02-13";"140378.0";"0";
"PROMEFARMA REPRESENTACOES COMERCIAIS LTDA";"Secretaria Municipal de Saude";"106102019";"Aquisicao de medicamentos CBAF geral";"2019-02-19";"2019-12-31";"2019-02-13";"41888.0";"0";
"CECHETTI & CADINI - COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA - ME";"Secretaria Municipal de Saude";"106112019";"Aquisicao de medicamentos CBAF geral";"2019-02-21";"2019-12-31";"2019-02-13";"2640.0";"0";
"NDS DISTRIBUIDORA DE MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"106082019";"Aquisicao de medicamentos CBAF geral";"2019-02-22";"2019-12-31";"2019-02-13";"143954.0";"0";
"CIRUFARMA COMERCIAL LTDA";"Secretaria Municipal de Saude";"106022019";"Aquisicao de medicamentos CBAF geral";"2019-02-23";"2019-12-31";"2019-02-13";"9912.0";"0";
"CONQUISTA DIST DE MEDICAMENTOS E PRODUTOS HOSPITAL";"Secretaria Municipal de Saude";"106032019";"Aquisicao de medicamentos CBAF geral";"2019-02-27";"2019-12-31";"2019-02-13";"27340.5";"0";
"INOVAMED COMERCIO DE MEDICAMENTOS LTDA - ME";"Secretaria Municipal de Saude";"106092019";"Aquisicao de medicamentos CBAF geral";"2019-03-02";"2019-12-31";"2019-02-13";"39500.0";"0";
"ACACIA COMERCIO DE MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"106012019";"Aquisicao de medicamentos CBAF geral";"2019-03-23";"2019-12-31";"2019-03-21";"67008.0";"0";
"JURACY REGIS DE LUCENA";"Fundacao Cultural de Joao Pessoa";"0482019";"Contratacao do Grupo LUAR DO SERTAO";"2019-01-23";"2019-02-01";"2019-01-23";"3000.0";"0";
"COMPANHIA DE TEATRO SOLUAR";"Fundacao Cultural de Joao Pessoa";"1622018";"Contratacao da CIA. de Teatro Soluar para apresentacao no evento Anima Centro com o espetaculo infantil Girandei";"2018-04-19";"2018-05-27";"2018-04-16";"3000.0";"0";
"HDX COMERCIAL EIRELI - ME";"Secretaria Municipal de Saude";"109462018";"Aquisicao de equipamentos /material permanente para atender as necessidades dos servicos de saude bucal das Unidades de Saude da Familia";"";"2018-12-31";"2018-11-07";"711200.0";"0";
"BS EQUIPAMENTOS INDUSTRIA E COMERCIO LTDA";"Secretaria Municipal de Saude";"109432018";"Aquisicao de equipamentos /material permanente para atender as necessidades dos servicos de saude bucal das Unidades de Saude da Familia";"";"2018-12-31";"2018-11-07";"15000.0";"0";
"ODONTOMED COMERCIO DE PRODUTOS MEDICO HOSPITALARES";"Secretaria Municipal de Saude";"109442018";"Aquisicao de equipamentos /material permanente para atender as necessidades dos servicos de saude bucal das Unidades de Saude da Familia";"";"2018-12-31";"2018-11-07";"196089.91";"0";
"TEATRAL ARRETADO PRODUCOES ARTISTICAS ";"Fundacao Cultural de Joao Pessoa";"1642018";"Contratacao do grupo teatral Arretado Producoes Artisticas para apresentacao do espetaculo infantil Troca-se Historias por Brincadeiras";"2018-04-19";"2018-05-27";"2018-04-16";"3000.0";"0";
"MAGDALA DA SILVA NASCIMENTO ";"Fundacao Cultural de Joao Pessoa";"1612018";"Contratacao do grupo Amigos do Forro para apresentacao no evento Forro na Feira - Mercado Central";"2018-04-19";"2018-05-05";"2018-04-16";"1500.0";"0";
"JOSE HONORATO DA SILVA";"Fundacao Cultural de Joao Pessoa";"0502019";"Contratacao do Grupo FORRO ENCABULADO";"2019-01-23";"2019-02-02";"2019-01-23";"3000.0";"0";
"ARTSOM - PROMOCOES ARTISTICAS E EVENTOS LTDA - ME";"Fundacao Cultural de Joao Pessoa";"1602018";"Contratacao da cantora Diana Miranda para apresentacao no projeto Sabadinho Bom";"2018-04-19";"2018-05-12";"2018-04-16";"3000.0";"0";
"Grafica Editora Form. Cont. e Etiquetas";"Secretaria Municipal de Saude";"107812018";"Aquisicao de material grafico";"";"2018-12-31";"2018-11-01";"1269.5";"0";
"J M DA SILVA - GRAFICA -ME";"Secretaria Municipal de Saude";"10782";"Aquisicao de material grafico";"2018-09-15";"2018-12-31";"2018-07-10";"7070.55";"0";
"JOSE FERNANDES DO NASCIMENTO";"Fundacao Cultural de Joao Pessoa";"1592018";"Contratacao do grupo Clube do Choro para apresentacao no projeto Sabadinho Bom";"2018-04-19";"2018-05-19";"2018-04-16";"3000.0";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"109382018";"Aquisicao de medicamentos de alto custo para atender as demandas judiciais";"";"2018-12-31";"2018-10-25";"67475.8";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107502019";"Aquisicao de medicamentos de alto custo para atender as demandas judiciais";"2019-04-03";"2019-12-31";"2019-03-28";"1058912.61";"0";
"ROSINEIDE MACENA DE MOURA";"Fundacao Cultural de Joao Pessoa";"1522018";"Contratacao da tribo Indigena Tupy Guarany para apresentacao na Homenagem ao Dia do Indio";"2018-04-19";"2018-04-22";"2018-04-13";"2200.0";"0";
"MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA";"Secretaria Municipal de Saude";"108952018";"Aquisicao de material medico para diabeticos";"2018-09-26";"2018-12-31";"2018-09-24";"60588.0";"0";
"TETHI COMERCIO DE ARTIGOS MEDICOS E ORTOPEDICOS EIRELI ";"Secretaria Municipal de Saude";"108962018";"Aquisicao de material medico para diabeticos";"2018-09-26";"2018-12-31";"2018-09-24";"145994.0";"0";
"CARLA BARBOSA SILVA PAIVA";"Fundacao Cultural de Joao Pessoa";"0522019";"Contratacao da MILLENNIUM CIRCUS";"2019-02-09";"2019-02-15";"2019-01-23";"3000.0";"0";
"JUAN EBANO SOARES ALENCAR";"Fundacao Cultural de Joao Pessoa";"1532018";"Contratacao do grupo Os Mulatos para apresentacao no evento Polvora Cultural";"2018-04-19";"2018-05-06";"2018-04-13";"3000.0";"0";
"RAPHAEL NETO FUNCHAL";"Fundacao Cultural de Joao Pessoa";"1472018";"Contratacao do musico Raphael Funchal para apresentacao no evento Por do Sol - Hotel Globo";"2018-04-19";"2018-05-25";"2018-04-11";"3000.0";"0";
"ROMILDO RODRIGUES DA COSTA";"Fundacao Cultural de Joao Pessoa";"0552019";"Contratacao da CIA CARA DUPLA COLETIVO DE TEATRO";"2019-02-09";"2019-02-17";"2019-01-23";"3000.0";"0";
"HBL - VENDAS E SERVICOS DE ARTIGOS MEDICOS E ORTOPEDICOS LTDA";"Secretaria Municipal de Saude";"107382019";"Contratacao de empresas para manutencao corretiva e preventiva com substituicao total de pecas para monitores multiparametricos da marca Prolife para atender s necessidades da UPA Celio Pires E UPA Oceania da Secretaria Municipal de Saude de Joao Pessoa-PB";"2019-05-04";"2020-05-04";"2019-04-09";"72504.0";"0";
"TRUPE ARLEQUIN DE CIRCO TEATRO";"Fundacao Cultural de Joao Pessoa";"1482018";"Contratacao do da Trupe Arlequim de Circo Teatro para apresentacao do espetaculo Xule a La Carte";"2018-04-19";"2018-05-26";"2018-04-11";"3000.0";"0";
"JOAO MACHADO DE ARAUJO";"Fundacao Cultural de Joao Pessoa";"0562019";"Contratacao do Grupo RIPA NA CHULIPA";"2019-02-09";"2019-02-09";"2019-01-23";"3000.0";"0";
"COLETIVO JARAGUA";"Fundacao Cultural de Joao Pessoa";"1492018";"Contratacao da banda Meu Quintal para apresentacao no evento Anima Centro do Show Infantil Roda Gigante";"2018-04-19";"2018-05-27";"2018-04-11";"3000.0";"0";
"FLAVIA SUZANA DA SILVA MOURA ";"Fundacao Cultural de Joao Pessoa";"1552018";"Contratacao da CIA. Florescer para apresentacao do espetaculo infantil "O mundo Encantado da Crianca"";"2018-04-19";"2018-05-06";"2018-04-13";"3000.0";"0";
"FOXMED MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA -";"Secretaria Municipal de Saude";"107422018";"Aquisicao de material medico hospitalar - solucoes antissepticas";"2018-07-20";"2018-12-31";"2018-06-14";"59886.6";"0";
"FOXMED MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA -";"Secretaria Municipal de Saude";"105722019";"Aquisicao de material medico hospitalar - solucoes antissepticas";"2019-02-19";"2019-12-31";"2019-02-11";"76006.3";"0";
"CAPROMED FARMACEUTICA EIRELI ";"Secretaria Municipal de Saude";"105772019";"Aquisicao de material medico hospitalar - solucoes antissepticas";"2019-02-26";"2019-12-31";"2019-02-11";"6883.2";"0";
"ROMERO BATISTA NERY DA SILVA ";"Fundacao Cultural de Joao Pessoa";"0572019";"Contratacao da ESCOLA DE SAMBA MALANDROS DO MORRO";"2019-02-09";"2019-03-02";"2019-01-24";"3000.0";"0";
"TRUPE ARLEQUIN DE CIRCO TEATRO";"Fundacao Cultural de Joao Pessoa";"1562018";"Contratacao da Trupe Arlequim de Circo Teatro para apresentacao do Espetaculo Circense da American Circo, O sonho Continua";"2018-04-19";"2018-05-13";"2018-04-13";"3000.0";"0";
"PAULO CESAR DOS SANTOS ";"Fundacao Cultural de Joao Pessoa";"0582019";"Contratacao da ESCOLA DE SAMBA UNIDOS DO ROGER";"2019-02-09";"2019-02-23";"2019-01-24";"3000.0";"0";
"ARTSOM - PROMOCOES ARTISTICAS E EVENTOS LTDA - ME";"Fundacao Cultural de Joao Pessoa";"1672018";"Contratacao da banda Tuareg's para apresentacao no evento Baile do Governador do Distrito LA-5";"2018-04-19";"2018-04-20";"2018-04-19";"7000.0";"0";
"CARLA BARBOSA SILVA PAIVA";"Fundacao Cultural de Joao Pessoa";"0592019";"Contratacao da MILLENNIUM CIRCUS";"2019-02-24";"2019-02-24";"2019-01-24";"3000.0";"0";
"RAPHAEL NETO FUNCHAL";"Fundacao Cultural de Joao Pessoa";"0602019";"Contratacao do Artista RAPHAEL NETO FUNCHAL";"2019-02-09";"2019-02-22";"2019-01-24";"3000.0";"0";
"MARIA ESTER MENESES ROLIM";"Fundacao Cultural de Joao Pessoa";"1462018";"Contratacao do grupo Junior Espinola para apresentacao no evento Por do Sol - Hotel Globo";"2018-04-19";"2018-05-18";"2018-04-11";"3000.0";"0";
"CLAUDIO SILVA DE ANDRADE";"Fundacao Cultural de Joao Pessoa";"0612019";"Contratacao do Artista CLAUDIO SILVA DE ANDRADE";"2019-02-09";"2019-02-24";"2019-01-24";"3000.0";"0";
"MARIA HLENA LOPES DA SILVA";"Fundacao Cultural de Joao Pessoa";"1452018";"Contratacao da Tribo Indigena Tabajara para apresentacao na Homenagem ao Dia do Indio";"2018-04-19";"2018-04-20";"2018-04-11";"2200.0";"0";
"ROSANNA CHAVES DE CARVALHO GOMES";"Fundacao Cultural de Joao Pessoa";"0622019";"Contratacao do Grupo FULO MIMOSA";"2019-02-09";"2019-02-23";"2019-01-24";"3000.0";"0";
"ARTSOM - PROMOCOES ARTISTICAS E EVENTOS LTDA - ME";"Fundacao Cultural de Joao Pessoa";"0632019";"Contratacao da Banda TENTACULOS";"2019-01-24";"2019-02-02";"2019-01-24";"3000.0";"0";
"PAULO CESAR DOS SANTOS ";"Fundacao Cultural de Joao Pessoa";"0642019";"Contratacao da ESCOLA DE SAMBA UNIDOS DO ROGER";"2019-01-24";"2019-02-03";"2019-01-24";"1500.0";"0";
"ALLAM AMANCIO DA SILVA";"Fundacao Cultural de Joao Pessoa";"0652019";"Contratacao da ESCOLA DE SAMBA PAVAO DE OURO";"2019-01-24";"2019-01-03";"2019-01-24";"1500.0";"0";
"SERV IMAGEM NORDESTE ASSISTENCIA TECNICA LTDA";"Secretaria Municipal de Saude";"106402018";"Contratacao de servico de manutencao corretiva no aparelho de ultrassonografia pertencente ao Hospital Municipal Santa Isabel";"2018-06-23";"2019-06-23";"2018-05-08";"18300.0";"0";
"JOSE CARLOS PEREIRA  DA SILVA";"Fundacao Cultural de Joao Pessoa";"0662019";"Contratacao da ESCOLA DE SAMBA INDEPENDENTES DE MANDACARU";"2019-01-24";"2019-02-03";"2019-01-24";"1500.0";"0";
"ALINE ALENCAR FRANCISCO";"Fundacao Cultural de Joao Pessoa";"0672019";"Contratacao da CIA FORROBODO DE TEATRO";"2019-06-09";"2019-02-10";"2019-01-24";"3000.0";"0";
"MARIA MADALENA ALVES DE FIGUEREDO";"Fundacao Cultural de Joao Pessoa";"0702019";"Contratacao do Artista JULIO MARTINS";"2019-02-09";"2019-02-16";"2019-01-24";"3000.0";"0";
"ANGELA GAETA PEREIRA DOS SANTOS ";"Fundacao Cultural de Joao Pessoa";"0712019";"Contratacao do Grupo MARACASTELO";"2019-02-09";"2019-02-19";"2019-01-24";"2200.0";"0";
"JACIARA DA SILVA XAVIER";"Fundacao Cultural de Joao Pessoa";"0722019";"Contratacao do Grupo NATA DA GAFIEIRA";"2019-02-09";"2019-02-12";"2019-01-24";"3000.0";"0";
"CENTRO DE OLHOS DA PARAIBA S/S LTDA";"Secretaria Municipal de Saude";"108802018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-15";"2019-09-15";"2018-09-06";"7522672.51";"0";
"CENTRO MEDICO AUDIOVISUAL S/S LTDA";"Secretaria Municipal de Saude";"108792018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-15";"2019-09-15";"2018-09-06";"5510909.59";"0";
"CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS - LTDA-ME";"Secretaria Municipal de Saude";"108812018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-27";"2019-09-27";"2018-09-06";"1813354.76";"0";
"INSTITUTO VISAO PARA TODOS";"Secretaria Municipal de Saude";"108862018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-15";"2019-09-15";"2018-09-06";"162081.5";"0";
"STROPP OFTALMOLOGICA LTDA";"Secretaria Municipal de Saude";"108942018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-25";"2019-09-25";"2018-09-06";"2060811.67";"0";
"MEMORIAL SANTA LUZIA LTDA";"Secretaria Municipal de Saude";"108822018";"Credenciamento de entidades para contratacao de procedimentos de oftalmologia para atender as necessidades da populacao de Joao Pessoa e municipios pactuados";"2018-09-21";"2019-09-21";"2018-09-06";"901017.62";"0";
"ROMERO BATISTA NERY DA SILVA ";"Fundacao Cultural de Joao Pessoa";"0732019";"Contratacao da ESCOLA DE SAMBA MALANDROS DO MORRO";"2019-01-24";"2019-02-03";"2019-01-24";"1500.0";"0";
"PERGON DISTRIBUIDORA DE MATERIAL DE CONTRUCAO LTDA";"Secretaria Municipal de Saude";"105862019";"Aquisicao de materiais para construcao civil";"2019-04-11";"2019-12-31";"2019-02-08";"82429.08";"0";
"ELFA MEDICAMENTOS LTDA";"Secretaria Municipal de Saude";"107402018";"Aquisicao de medicamentos para atender demanda judicial";"2018-07-07";"2018-12-31";"2018-06-14";"22067.52";"0";
"ROSANGELA SOARES SARDINHA CORNETTA-ME";"Secretaria Municipal de Saude";"108372018";"Aquisicao de macas retratil para atender ao SAMU";"2018-08-30";"2018-12-31";"2018-08-15";"29900.0";"0";
"GILBERTO PEDRO DA SILVA";"Fundacao Cultural de Joao Pessoa";"0042018";"Contratacao da Quadrilha Junina Sacode Poeira para duas apresentacoes no mes de junho 2018";"2018-06-09";"2018-06-30";"2018-05-17";"14200.0";"0";
"MARCOS ANTONIO DOS SANTOS";"Fundacao Cultural de Joao Pessoa";"0052018";"Contratacao da Quadrilha Junina Botijinha para duas apresentacoes no mes de junho 2018";"2018-06-09";"2018-06-30";"2018-05-17";"14200.0";"0";
